# Subgrafo inducido por caminos Q01 y Q06
# Formato: FromNodeId\tToNodeId
0	1
0	6309
1202	1243
1202	1291
1238	1290
1238	1291
1243	1292
1290	1295
1292	1305
1295	1297
1297	4383
1305	1067998
1497	1498
1497	1668
1498	1612
1506	1612
1506	1658
1507	1554
1507	1661
1554	1624
1554	1661
1624	1660
1656	1658
1656	1659
1659	1660
1661	1662
1662	1664
1664	2056
1668	389468
2056	2057
2057	2284
2123	2130
2123	2312
2130	2288
2130	2312
2284	2292
2288	2292
2308	2322
2308	2323
2312	2320
2320	2321
2321	2322
2323	2324
2324	2325
2325	2327
2326	2328
2326	2343
2327	2343
2328	3467
2889	2890
2889	2906
2890	3511
2893	3511
2893	3980
2906	2920
2920	2921
2921	3347
3038	3039
3038	3056
3039	3203
3056	3066
3056	3073
3066	3073
3073	3084
3083	3084
3083	3117
3116	3117
3116	3118
3118	3128
3128	3161
3161	7292
3203	3365
3347	3352
3352	3365
3437	3449
3437	3470
3449	3504
3467	3469
3469	3504
3470	7292
3814	3815
3814	3853
3815	4383
3853	3891
3891	3913
3913	3968
3968	3980
6309	6310
6310	7291
7291	7292
389468	493079
399341	399342
399341	409928
399342	410492
409928	1074002
410492	1074032
485981	486497
485981	499956
486052	486054
486052	486066
486054	486318
486066	486500
486080	486081
486080	486082
486081	486083
486081	486318
486082	486083
486083	486324
486090	486324
486090	486397
486098	486099
486098	486498
486099	486496
486180	486496
486180	486497
486397	486398
486398	486468
486468	487317
486498	486500
486707	486734
486707	487357
486734	487469
486780	487362
486780	487469
487317	487464
487331	487333
487331	487338
487333	487334
487334	487464
487338	487357
487362	487562
487562	488190
488002	488144
488002	488180
488102	488193
488102	488194
488144	488167
488167	488192
488180	488181
488181	488190
488192	488193
488194	492672
491711	491733
491711	492426
491733	491734
491734	492439
491747	492426
491747	492628
492439	492648
492628	492672
492648	493079
499821	499854
499821	499947
499826	499833
499826	499949
499833	499947
499854	500021
499949	500000
499956	500005
500005	500021
1059608	1059609
1059608	1059639
1059609	1068000
1059624	1060187
1059624	1060189
1059639	1059663
1059661	1059663
1059661	1060201
1060187	1060203
1060189	1069070
1060201	1060203
1067998	1068001
1068000	1068001
1068794	1069040
1068794	1069057
1068989	1068992
1068989	1074153
1068991	1068992
1068991	1068994
1068994	1068995
1068995	1069028
1069028	1069178
1069040	1069041
1069041	1069177
1069057	1069070
1069177	1069178
1069459	1069460
1069459	1069468
1069460	1074036
1069467	1069468
1069467	1069538
1069496	1069499
1069496	1075579
1069499	1069517
1069512	1069513
1069512	1069538
1069513	1069517
1074002	1087562
1074023	1074025
1074023	1074032
1074025	1074026
1074026	1074033
1074033	1074035
1074035	1074036
1074053	1074237
1074053	1074284
1074153	1074208
1074208	1074284
1074237	1075501
1075501	1075504
1075504	1075510
1075510	1075527
1075527	1075579
